Code	FOOD ITEM	REFERENCE PORTION	Reference ESHA	 Quantity 	Measure	 Gram Weight (g) 	 Calories (Kcal) 	 Calories from Fat (Kcal) 	 Calories from SatFat(Kcal) 	 Protein (g) 	 Carbohydrates (g) 	 Total Dietary Fiber (g) 	 Total Soluble Fiber (g) 	 Dietary Fiber (2016) (g) 	 Soluble Fiber (2016)(g) 	 Total Sugars(g) 	 Added Sugar(g) 	 Monosaccharides(g) 	 Disaccharides(g) 	 Other Carbs(g) 	 Fat(g) 	 Saturated Fat(g) 	 Mono Fat(g) 	 Poly Fat(g) 	 Trans Fatty Acid(g) 	 Cholesterol(mg) 	 Water(g) 	 Vitamin A - IU 	 Vitamin A - RAE (mcg) 	 Carotenoid RE (mcg) 	 Retinol RE (mcg) 	 Beta-Carotene(mcg) 	 Vitamin B1 - Thiamin(mg) 	 Vitamin B2 - Riboflavin(mg) 	 Vitamin B3 - Niacin (mg) 	 Vitamin B3 - Niacin Equiv (mg) 	 Vitamin B6 (mg) 	 Vitamin B12(mcg) 	 Biotin(mcg) 	 Vitamin C(mcg) 	 Vitamin D - IU 	 Vitamin D - mcg 	 Vitamin E - Alpha-Toco (mg) 	 Folate(mcg) 	 Folate, DFE (mcg) 	 Vitamin K(mcg) 	 Pantothenic Acid (mg) 	 Calcium(mg) 	 Chromium(mcg) 	 Copper(mg) 	 Fluoride(mg) 	 Iodine(mcg) 	 Iron(mg) 	 Magnesium(mg) 	 Manganese(mg) 	 Molybdenum(mcg) 	 Phosphorus(mg) 	 Potassium(mg) 	 Selenium(mcg) 	 Sodium(mg) 	 Zinc(mg) 	 Omega 3 Fatty Acid(g) 	 Omega 6 Fatty Acid(g) 	 Alcohol(g) 	 Caffeine(mg) 	 Choline(mg) 
6.6	Burger	1 medium size	Average	 100 	Gram	 100.00 	 239.59 	 133.16 	 38.73 	 19.02 	 6.68 	 0.23 	 -   	 -   	 -   	 0.62 	 -   	 -   	 -   	 5.83 	 14.80 	 4.30 	 6.30 	 1.96 	 -   	 39.00 	 37.87 	 -   	 4.00 	 -   	 4.00 	 0.33 	 0.05 	 0.09 	 2.83 	 3.85 	 0.15 	 0.66 	 -   	 0.20 	 5.00 	 0.13 	 0.48 	 8.67 	 10.63 	 1.77 	 0.36 	 34.67 	 -   	 0.05 	 -   	 -   	 1.91 	 14.33 	 0.09 	 -   	 126.00 	 294.69 	 13.47 	 343.61 	 1.62 	 0.05 	 1.75 	 -   	 -   	 33.60 
6.7	Offal/Organ meat (liver, heart, brain, etc.)	Side B	Average	 100 	Gram	 100.00 	 164.29 	 52.46 	 16.73 	 25.10 	 1.11 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 1.11 	 5.83 	 1.86 	 1.19 	 1.27 	 0.07 	 838.57 	 66.11 	 4,530.57 	 1,913.71 	 4.00 	 1,910.43 	 37.29 	 0.15 	 1.99 	 7.59 	 8.47 	 0.45 	 24.03 	 -   	 5.71 	 20.57 	 0.51 	 0.53 	 143.57 	 143.57 	 0.63 	 1.24 	 10.57 	 -   	 2.46 	 -   	 -   	 6.37 	 17.71 	 0.06 	 1.76 	 334.14 	 222.71 	 78.59 	 311.14 	 3.10 	 0.19 	 0.86 	 -   	 -   	 381.99 
6.8	Processed meat (hot dog/ salami/ mortadella)	Side B/ Hotdog size/Regular cured meat slice/	Average	 100 	Gram	 100.00 	 264.97 	 181.28 	 64.72 	 17.33 	 2.22 	 0.02 	 -   	 -   	 -   	 1.28 	 0.22 	 -   	 -   	 0.93 	 20.14 	 7.19 	 8.72 	 2.59 	 -   	 70.52 	 44.55 	 2.00 	 7.67 	 -   	 7.67 	 1.17 	 0.14 	 0.16 	 3.43 	 3.92 	 0.19 	 0.79 	 -   	 1.35 	 29.67 	 0.73 	 0.42 	 1.50 	 1.50 	 0.58 	 0.10 	 13.00 	 -   	 0.06 	 -   	 -   	 1.67 	 12.17 	 0.00 	 -   	 127.67 	 259.33 	 17.30 	 1,103.72 	 1.93 	 0.14 	 2.35 	 -   	 -   	 51.23 
7	 Fish and Seafood																																																																	
7.1	Fish Grilled/Boiled/Canned/Raw 	Side B	Average	 100 	Gram	 100.00 	 174.67 	 65.64 	 12.01 	 25.69 	 0.03 	 -   	 -   	 -   	 -   	 0.01 	 -   	 -   	 -   	 0.02 	 7.29 	 1.33 	 2.58 	 2.10 	 -   	 45.00 	 65.72 	 -   	 25.33 	 -   	 25.33 	 -   	 0.06 	 0.11 	 8.88 	 8.88 	 0.37 	 3.31 	 -   	 0.17 	 362.67 	 9.07 	 0.81 	 6.33 	 6.33 	 16.67 	 -   	 11.00 	 -   	 0.07 	 -   	 -   	 0.77 	 30.33 	 -   	 -   	 297.67 	 326.00 	 49.30 	 414.33 	 0.62 	 0.58 	 1.49 	 -   	 -   	 79.53 
7.2	Fish Fried 	Side B	Average	 100 	Gram	 100.00 	 166.00 	 73.26 	 13.04 	 22.17 	 0.10 	 -   	 -   	 -   	 -   	 0.04 	 -   	 -   	 -   	 0.06 	 8.14 	 1.45 	 3.09 	 2.40 	 -   	 59.00 	 68.93 	 -   	 18.00 	 -   	 18.00 	 -   	 0.06 	 0.10 	 5.69 	 5.69 	 0.38 	 3.30 	 -   	 0.50 	 272.00 	 6.80 	 1.05 	 10.00 	 10.00 	 5.50 	 -   	 11.00 	 -   	 0.07 	 -   	 -   	 0.45 	 29.00 	 -   	 -   	 287.00 	 380.00 	 32.40 	 420.00 	 0.47 	 0.68 	 1.67 	 -   	 -   	 90.30 
7.3.1	Seafood-Grilled/Boiled/Canned /Raw  " Shrimp"	Shrimp: 1 medium	Average	 100 	Gram	 100.00 	 121.40 	 35.21 	 6.42 	 14.50 	 6.05 	 0.26 	 -   	 0.14 	 -   	 0.38 	 0.34 	 -   	 -   	 5.41 	 3.91 	 0.71 	 1.36 	 1.45 	 -   	 133.00 	 73.20 	 -   	 51.80 	 -   	 51.20 	 7.60 	 0.04 	 0.03 	 1.80 	 1.80 	 0.16 	 0.95 	 -   	 0.30 	 4.80 	 0.12 	 1.65 	 19.40 	 20.18 	 3.52 	 -   	 61.00 	 -   	 0.19 	 -   	 -   	 0.40 	 23.40 	 -   	 -   	 229.60 	 114.40 	 31.60 	 412.00 	 1.09 	 0.29 	 1.14 	 -   	 -   	 86.34 
7.3.2	Seafood-Grilled/Boiled/Canned /Raw  " Calamari"	Shrimp: 1 medium	Average	 100 	Gram	 100.00 	 143.00 	 47.97 	 8.37 	 18.57 	 3.76 	 -   	 -   	 -   	 -   	 0.03 	 -   	 -   	 -   	 3.73 	 5.33 	 0.93 	 1.67 	 2.14 	 -   	 278.00 	 69.87 	 -   	 10.00 	 -   	 10.00 	 -   	 0.02 	 0.39 	 2.46 	 2.46 	 0.06 	 1.47 	 -   	 5.80 	 -   	 -   	 1.86 	 6.00 	 6.00 	 4.30 	 -   	 39.00 	 -   	 2.25 	 -   	 -   	 0.82 	 39.00 	 -   	 -   	 263.00 	 295.00 	 53.40 	 358.00 	 1.82 	 0.78 	 1.34 	 -   	 -   	 77.50 
7.3.3	Seafood-Grilled/Boiled/Canned /Raw  " Crab"	Crab stick: 1 stick	Average	 100 	Gram	 100.00 	 95.00 	 4.14 	 1.41 	 7.62 	 15.00 	 0.50 	#DIV/0!	#DIV/0!	#DIV/0!	 6.25 	 6.01 	#DIV/0!	#DIV/0!	 8.25 	 0.46 	 0.16 	 0.20 	 0.10 	#DIV/0!	 20.00 	 74.66 	#DIV/0!	 -   	#DIV/0!	 -   	 -   	 0.03 	 0.08 	 0.62 	 0.62 	 0.13 	 0.57 	#DIV/0!	 -   	 -   	 -   	 0.17 	 -   	 -   	 0.40 	#DIV/0!	 13.00 	#DIV/0!	 0.03 	#DIV/0!	#DIV/0!	 0.39 	 43.00 	#DIV/0!	#DIV/0!	 282.00 	 90.00 	 22.30 	 529.00 	 0.33 	 0.03 	 0.01 	 -   	 -   	 13.00 
7.4.1	Seafood-Fried "Shrimp"	Shrimp: 1 medium	Average	 100 	Gram	 100.00 	 147.00 	 25.56 	 7.03 	 16.77 	 12.20 	 0.70 	 -   	 -   	 -   	 1.00 	 0.92 	 -   	 -   	 10.50 	 2.84 	 0.78 	 0.73 	 0.82 	 -   	 164.00 	 65.55 	 -   	 68.00 	 -   	 68.00 	 -   	 0.13 	 0.12 	 2.59 	 2.59 	 0.18 	 1.06 	 -   	 -   	 12.00 	 0.30 	 1.42 	 30.00 	 34.60 	 1.40 	 -   	 88.00 	 -   	 0.23 	 -   	 -   	 1.15 	 30.00 	 -   	 -   	 286.00 	 157.00 	 36.20 	 496.00 	 1.32 	 0.19 	 0.61 	 -   	 -   	 108.40 
