Code	FOOD ITEM	REFERENCE PORTION	Portion in grams
		A4 (non-dairy alternative)	86.75
		A5(non-dairy alternative)	101.21
		A6 (non-dairy alternative)	260.25
		A7 (non-dairy alternative)	43.38
		A8 (non-dairy alternative)	318.09
		A9 (non-dairy alternative)	347.00
		A10 (non-dairy alternative)	173.50
		A11 (non-dairy alternative)	173.50
		A12 (non-dairy alternative)	72.29
		A13 (non-dairy alternative)	347.00
		A14 (non-dairy alternative)	518.19
		A15 (non-dairy alternative)	462.67
		A16 (non-dairy alternative)	173.50
5.4	 Yogurt (plain) (zabadi/robe)	Side A yoghurt or 1 small container (170-200ml)	
		I yoghurt small container	180.00
		A1 (Yogurt,Plain)	4.91
		A2 (Yogurt,Plain)	10.58
		A3 (Yogurt,Plain)	15.78
		A4 (Yogurt,Plain)	88.45
		A5 (Yogurt,Plain)	103.19
		A6 (Yogurt,Plain)	265.36
		A7 (Yogurt,Plain)	44.23
		A8 (Yogurt,Plain)	324.32
		A9 (Yogurt,Plain)	353.81
		A10 (Yogurt,Plain)	176.90
		A11 (Yogurt,Plain)	176.90
		A12 (Yogurt,Plain)	73.71
		A13 (Yogurt,Plain)	353.81
		A14 (Yogurt,Plain)	528.35
		A15 (Yogurt,Plain)	471.74
5.6	Ayran /Laban (drinkable) 	Side A/ 1 small bottle (200ml)	
		1 Small bottle ayran/laban/Shaninah	200.00
		A1 (Ayran/Laban/Shaninah)	4.82
		A2 (Ayran/Laban/Shaninah)	10.38
		A3 (Ayran/Laban/Shaninah)	15.48
		A4 (Ayran/Laban/Shaninah)	86.75
		A5 (Ayran/Laban/Shaninah)	101.21
		A6 (Ayran/Laban/Shaninah)	260.25
		A7 (Ayran/Laban/Shaninah)	43.38
		A8 (Ayran/Laban/Shaninah)	318.09
		A9 (Ayran/Laban/Shaninah)	347.00
		A10 (Ayran/Laban/Shaninah)	173.50
		A11 (Ayran/Laban/Shaninah)	173.50
		A12 (Ayran/Laban/Shaninah)	72.29
		A13 (Ayran/Laban/Shaninah)	347.00
		A14 (Ayran/Laban/Shaninah)	518.19
		A15 (Ayran/Laban/Shaninah)	462.67
		A16 (Ayran/Laban/Shaninah)	173.50
5.7	Yogurt (flavored)	Side A or 1 small container (170-200ml)	
		1 small container (yogurt, flavored)	180.00
		A1 (yogurt, flavored)	4.91
		A2 (yogurt, flavored)	10.58
		A3 (yogurt, flavored)	15.78
		A4 (yogurt, flavored)	88.45
		A5 (yogurt, flavored)	103.19
		A6 (yogurt, flavored)	265.36
		A7 (yogurt, flavored)	44.23
		A8 (yogurt, flavored)	324.32
		A9 (yogurt, flavored)	353.81
		A10 (yogurt, flavored)	176.90
		A11 (yogurt, flavored)	176.90
		A12 (yogurt, flavored)	73.71
		A13 (yogurt, flavored)	353.81
		A14 (yogurt, flavored)	528.35
		A15 (yogurt, flavored)	471.74
5.8	Labneh	Side A (Labaneh, density= 1.15)	
		A1 (Labaneh)	5.43
		A2 (Labaneh)	11.70
		A3 (Labaneh)	17.45
		A4 (Labaneh)	97.81
		A5 (Labaneh)	114.11
		A6 (Labaneh)	293.42
		A7 (Labaneh)	48.90
		A8 (Labaneh)	358.63
		A9 (Labaneh)	391.23
		A10 (Labaneh)	195.62
		A11 (Labaneh)	195.62
		A12 (Labaneh)	81.51
		A13 (Labaneh)	391.23
		A14 (Labaneh)	584.24
		A15 (Labaneh)	521.64
		A16 (Labaneh)	195.62
5.9	White cheese 	1 square/ Side A or B	
		1 square (white cheese)	30.00
5.10	Cheese (yellow/hard and processed)	1square/triangular portion/ Side A or B	
		1square/triangular (yellow cheese/hard and processed)	30.00
6.1	Beef	Side B (Beef, edible portion, cooked, minced, pieces)	
		B1,5 /6 (2 small cube beef)	39.27
		B2, 5 / 6 (beef, cooked) 	88.36
		B3, 5/6 (beef, cooked) 	113.49
		B4, 5/6(beef, cooked) 	173.18
		B5, 5/6 (beef, cooked) 	265.46
		B1, 3/4 (beef, cooked) 	19.63
		B2, 3/4 (beef, cooked) 	44.18
		B3, 3/4 (beef, cooked) 	56.75
		B4, 3/4 (beef, cooked) 	86.59
		B5, 3/4 (beef, cooked) 	132.73
6.2	Lamb 	Side B (lamb, cooked)	
		B1,5 /6 (lamb, cooked)	39.27
		B2, 5 / 6 (lamb, cooked)	88.36
		B3, 5/6 (lamb, cooked)	113.49
		B4, 5/6 (lamb, cooked)	173.18
		B5, 5/6 (lamb, cooked) 	265.46
		B1, 3/4 (lamb, cooked)	19.63
		B2, 3/4 (lamb, cooked)	44.18
		B3, 3/4 (lamb, cooked)	56.75
		B4, 3/4 (lamb, cooked)	86.59
		B5, 3/4 (lamb, cooked)	132.73
6.3	Poultry	Side B	
		Chicken Breast 	120.00
		Chicken Thigh	100.00
		B1,5 /6 (chicken, cooked)	39.27
		B2, 5 / 6 (chicken, cooked)	88.36
		B3, 5/6 (chicken, cooked)	113.49
		B4, 5/6 (chicken, cooked)	173.18
		B5, 5/6 (chicken, cooked) 	265.46
		B1, 3/4 (chicken, cooked)	19.63
		B2, 3/4 (chicken, cooked)	44.18
		B3, 3/4 (chicken, cooked)	56.75
		B4, 3/4 (chicken, cooked)	86.59
		B5, 3/4 (chicken, cooked)	132.73
6.4	Fried Chicken	Nuggets/ Side B	
		1 piece nugget 	18.00
		chicken strip (Medium, side B2)	40.00
		Fried chicken (breast)	150.00
		Fried chicken (thigh)	100.00
6.5	Egg 	1 egg	
		1 egg	50.00
6.6	Burger	1 medium size	
		1 burger (small size, slider)	80.00
		1 burger (Medium size)	150.00
6.7	Offal/Organ meat (liver, heart, brain, etc.)	Side B	
6.8	Processed meat (hot dog/ salami/ mortadella)	Side B/ Hotdog size/Regular cured meat slice/	
		1 slice turkey/mortadella (regular slice) 	20.00
		1 sausage (small size)	12.00
		1 sausage (medium size, hotdog) 	25.00
7.1	Fish Grilled/Boiled/Canned/Raw 	Side B (Grilled/boiled/canned, cooked)	
		B1,5 /6 (Grilled/boiled/canned, cooked)	39.27
		B2, 5 / 6 (Grilled/boiled/canned, cooked)	88.36
		B3, 5/6 (Grilled/boiled/canned, cooked)	113.49
		B4, 5/6 (Grilled/boiled/canned, cooked)	173.18
		B5, 5/6 (Grilled/boiled/canned, cooked)	265.46
		B1, 3/4 (Grilled/boiled/canned, cooked)	19.63
		B2, 3/4 (Grilled/boiled/canned, cooked)	44.18
		B3, 3/4 (Grilled/boiled/canned, cooked)	56.75
